TrainingDataset,HumanOrthologGeneID,MouseGeneID,Symbol,Synonyms,Description,EnsemblGeneID,ProteinLength,TargetP_Score,MitoDomain_Score,CoexpressionGnfN50_Score,PGC_Induction_Score,YeastMitoHomolog_Score,RickettsiaHomolog_Score,MSMS_Score,MCARTA2.0_score,MCARTA2_FDR,MCARTA2_LIST,MCARTA2_EVIDENCE,mm10_Chromosome,mm10_Start,mm10_Stop,MSMS_NUM_TISSUES,MSMS_NUM_PEPTIDES_UNIQUE,MSMS_NUM_SPECTRA,MSMS_TOTAL_INTENSITY,MSMS_PERCENT_COVERAGE,Tissues,cerebrum_total_peak_intensity_log10,cerebellum_total_peak_intensity_log10,brainstem_total_peak_intensity_log10,spinalcord_total_peak_intensity_log10,kidney_total_peak_intensity_log10,liver_total_peak_intensity_log10,heart_total_peak_intensity_log10,skeletalmuscle_total_peak_intensity_log10,adipose_total_peak_intensity_log10,smallintestine_total_peak_intensity_log10,largeintestine_total_peak_intensity_log10,stomach_total_peak_intensity_log10,placenta_total_peak_intensity_log10,testis_total_peak_intensity_log10,HPA_PrimarySubcellularLocalization_2015
Tmito,10229,12850,Coq7,clk-1|P97478,demethyl-Q 7,ENSMUSG00000030652,217,2,MitoDomain,49,,OrthologMitoHighConf,Ortholog,75-100pure,41.8598,0,1,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++",chr7,118525061,118533313,14,14,366,7.27E+09,81,all 14,8.7,8.5,8.7,8.5,8.9,9,8.6,8.7,8.8,8.6,9,8.7,8.3,8.3,
Tmito,7386,66694,Uqcrfs1,4430402G14Rik|AI875505|Q9CR68,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1",ENSMUSG00000038462,274,2,MitoDomain,48,,OrthologMitoHighConf,Ortholog,75-100pure,41.8598,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, coexpression++, MS/MS++",chr13,30540311,30545316,14,28,3522,2.78E+11,77,all 14,10.5,10.4,10.7,10.2,10.5,10.3,10.5,9.7,10,10.2,10.1,10,10.1,10,"Mitochondria (APE, Supportive)"
Tmito,6389,66945,Sdha,1500032O14Rik|2310034D06Rik|4921513A11|C81073|FP|SDH2|SDHF|Q8K2B3,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",ENSMUSG00000021577,664,2,SharedDomain,47,1.8,OrthologMitoHighConf,Ortholog,75-100pure,41.8438,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",chr13,74322254,74350240,14,48,4919,5.29E+11,83,all 14,10.4,9.9,10.5,10.3,11,10.5,10.7,10.6,10.6,10.7,10.6,10.5,10.4,10.4,"Mitochondria (APE, Supportive)"
Tmito,6390,67680,Sdhb,0710008N11Rik|Q9CQA3,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",ENSMUSG00000009863,282,2,MitoDomain,49,2.32,HomologMitoHighConf,Ortholog,75-100pure,41.8214,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",chr4,140961270,140979192,14,34,1571,1.50E+11,82,all 14,9.9,9.6,9.9,10,10.1,10.2,10.3,9.2,10.1,10.3,9.9,9.9,10.1,9.9,"Mitochondria (APE, Supportive)"
Tmito,498,11946,Atp5a1,AI035633|AL022851|AL023067|Atpm|D18Ertd206e|Mom2|Q03265,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1",ENSMUSG00000025428,553,1,SharedDomain,48,1.53,OrthologMitoHighConf,Homolog,75-100pure,41.6009,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",chr18,77773767,77782868,14,71,14666,2.25E+12,80,all 14,11.2,10.8,11.2,10.9,11.5,11,11.6,11.1,11.1,11.4,11,11.3,11.2,10.5,"Mitochondria (APE, Supportive)"
Tpossible_mito,135154,68002,1110058L19Rik,1700001E18Rik|C6orf57|Q8BTE0,RIKEN cDNA 1110058L19 gene,ENSMUSG00000026154,104,1,MitoDomain,44,1.38,OrthologMitoHighConf,Ortholog,25-50ambig,41.3676,0,1,"targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS",chr1,23995938,24005640,2,4,10,1.48E+08,38,"adipose, testis",,,,,,,,,8,,,,,7.7,"Mitochondria (APE, Uncertain)"
Tmito,9512,73078,Pmpcb,3110004O18Rik|MPP11|MPPB|MPPP52|Q9CXT8,peptidase (mitochondrial processing) beta,ENSMUSG00000029017,489,1,MitoDomain,42,0.74,OrthologMitoLowConf,Homolog,50-75pure,41.3602,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",chr5,21737159,21757152,14,22,275,2.37E+10,55,all 14,9,6.8,9.1,8.7,9.8,8.7,9.6,8,9,9.6,8.9,9.2,9.4,9,"Mitochondria (APE, Uncertain)"
Tmito,6392,66925,Sdhd,3110001M13Rik|AVLL5809|C78570|PRO19626|Q9CXV1,"succinate dehydrogenase complex, subunit D, integral membrane protein",ENSMUSG00000000171,159,3,MitoDomain,45,2.02,OrthologMitoHighConf,Ortholog,25-50pure,41.0374,0,1,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",chr9,50596339,50603849,14,4,221,5.87E+09,28,all 14,8.8,8.3,8.5,7.8,8.9,8.6,8.4,8.3,8.4,8.9,8.6,8.5,8.7,8.9,
Tmito,4967,18293,Ogdh,2210403E04Rik|2210412K19Rik|AA409584|d1401|mKIAA4192|Q60597,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),ENSMUSG00000020456,1038,2,MitoDomain,46,3.07,OrthologMitoLowConf,Homolog,50-75pure,40.5274,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",chr11,6291596,6359094,14,106,8271,7.16E+11,71,all 14,10.6,10.6,10.9,9.9,11.1,9.9,10.8,10.9,10.6,10.8,10.7,10.7,10.5,10.4,"Mitochondria (APE, Supportive)"
Tmito,84274,52064,Coq5,1810014G04Rik|D5Ertd33e|Q9CXI0,"coenzyme Q5 homolog, methyltransferase (yeast)",ENSMUSG00000041733,327,2,MitoDomain,41,2.95,OrthologMitoLowConf,Homolog,50-75pure,40.5274,0,1,"APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",chr5,115279701,115296972,14,16,132,5.76E+09,65,all 14,8.5,8.3,8.3,8,8.6,8,8.8,8.2,9,9.2,8.8,8.3,7.8,7.5,"Nucleoli (APE, Uncertain)"
Tmito,7385,67003,Uqcrc2,1500004O06Rik|Q9DB77,ubiquinol cytochrome c reductase core protein 2,ENSMUSG00000030884,453,2,MitoDomain,45,1.79,OrthologMitoLowConf,Homolog,50-75pure,40.5274,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",chr7,120635188,120659523,14,36,4282,4.09E+11,61,all 14,10.5,10,10.3,10.3,10.6,10.3,10.9,10.4,10.3,10.7,10.5,10.5,10.2,10.2,"Mitochondria (APE, Supportive)"
Tmito,27089,22272,Uqcrq,1100001F06Rik|1500040F11Rik|5830407L17Rik|9.5kDa|AA959903|QP-C|Qpc|Uqcrb|c1502|Q9CQ69,"ubiquinol-cytochrome c reductase, complex III subunit VII",ENSMUSG00000044894,82,2,MitoDomain,47,0.66,OrthologMitoHighConf,NoHomolog,75-100pure,40.3296,0,1,"literature, APEX_IMS, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",chr11,53428947,53430831,14,16,1153,9.68E+10,93,all 14,9.9,9.6,9.9,9.6,10.2,9.8,9.8,9.2,9.8,10,10.1,9.8,9.6,9.5,"Mitochondria (APE, Supportive)"
Tmito,4191,17448,Mdh2,MDH|Mdh-2|Mor-1|Mor1|P08249,"malate dehydrogenase 2, NAD (mitochondrial)",ENSMUSG00000019179,338,2,SharedDomain,50,1.54,OrthologMitoHighConf,Homolog,75-100pure,39.5139,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",chr5,135778648,135790386,14,42,6117,1.44E+12,79,all 14,11.1,10.8,11.2,10.9,10.9,10.6,11.4,10.6,11,11.3,10.9,10.8,11,10.6,"Mitochondria (APE, Supportive)"
Tmito,1629,13171,Dbt,D3Wsu60e|P53395,dihydrolipoamide branched chain transacylase E2,ENSMUSG00000000340,482,1,MitoDomain,34,2.32,OrthologMitoLowConf,Homolog,50-75pure,38.8044,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS++",chr3,116513078,116549981,14,33,809,3.27E+10,67,all 14,8.5,7.7,8.4,8.4,9.9,9.6,9.2,8.6,9.8,9.2,9.1,9.9,9.2,8.9,"Mitochondria (APE, Supportive)"
Tmito,1737,235339,Dlat,6332404G05Rik|DLTA|PDC-E2|Q8BMF4,dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex),ENSMUSG00000000168,642,3,MitoDomain,41,2.68,OrthologMitoLowConf,Homolog,50-75pure,38.6712,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",chr9,50634632,50659780,14,36,2960,3.70E+11,60,all 14,10.6,10.3,10.7,10.5,10.4,9.8,10.4,10.5,10.5,9.9,10.1,10.1,10.1,10.5,"Mitochondria (APE, Supportive)"
Tmito,10128,72416,Lrpprc,3110001K13Rik|C76645|Gp130|Lrp130|Lsfc|Q6PB66,leucine-rich PPR-motif containing,ENSMUSG00000024120,1392,1,SharedDomain,47,2.59,OrthologMitoHighConf,NoHomolog,75-100pure,38.5071,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++",chr17,84705246,84790786,14,145,5900,2.76E+11,90,all 14,10.2,10.4,10.4,9.4,10.8,9.8,9.6,10.3,9.9,10.2,10.5,10.2,10.2,10.5,"Mitochondria (APE, Supportive)"
Tmito,116540,68499,Mrpl53,1110007K17Rik|Q9D1H8,mitochondrial ribosomal protein L53,ENSMUSG00000030037,118,3,MitoDomain,47,0.6,OrthologMitoHighConf,NoHomolog,75-100pure,38.4734,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",chr6,83109107,83109932,14,13,157,4.34E+09,92,all 14,8.4,8.2,8.4,8.1,8.6,8.6,7.7,7.1,8.3,8.6,8.9,8.2,8.9,8.4,"Nucleoli (APE, Uncertain)"
Tmito,8050,27402,Pdhx,AI481367|E3bp|Pdx1|Q8BKZ9,"pyruvate dehydrogenase complex, component X",ENSMUSG00000010914,501,2,MitoDomain,41,2.28,OrthologMitoLowConf,Homolog,25-50pure,38.04,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",chr2,103021056,103073513,14,26,569,1.86E+10,49,all 14,9.3,8.7,9.3,8.8,9,8.3,9.5,9.3,9.4,8.7,8.6,8.9,8.9,9.2,"Nucleus;Plasma membrane (APE, Uncertain)"
Tmito,1743,78920,Dlst,1600017E01Rik|4632413C10Rik|4930529O08Rik|DLTS|Q9D2G2,dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex),ENSMUSG00000004789,454,2,MitoDomain,42,1.79,OrthologMitoLowConf,Homolog,25-50pure,38.04,0,1,"literature, APEX_IMS, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS+",chr12,85110832,85134091,14,27,1780,1.09E+11,46,all 14,9.7,9.3,9.7,9.7,10.2,9.6,10.1,9.7,9.9,10.3,9.6,9.9,9.9,9.3,"Nucleus (APE, Uncertain)"
Tmito,85476,28030,Gfm1,AW545374|D3Wsu133e|Gfm|Q8K0D5,"G elongation factor, mitochondrial 1",ENSMUSG00000027774,751,2,SharedDomain,48,2.39,OrthologMitoHighConf,Homolog,50-75pure,37.8874,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",chr3,67430114,67475068,14,48,643,1.46E+10,58,all 14,8.9,8.8,8.8,8.9,9.6,8.9,8.3,9,9,8.7,9.1,8.7,9.2,8.6,"Cytoskeleton (Microtubules) (APE, Uncertain)"
Tmito,80273,17713,Grpel1,AA408748|mt-GrpE#1|mt-Grpel1|Q99LP6,"GrpE-like 1, mitochondrial",ENSMUSG00000029198,217,1,MitoDomain,43,1.53,HomologMitoLowConf,Homolog,50-75pure,37.799,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",chr5,36465184,36474077,14,24,495,3.14E+10,74,all 14,9.4,9.2,9.3,9,9.6,9.6,9.2,8,9.3,9.3,9.2,9,9.8,9.1,"Mitochondria (APE, Supportive)"
Tmito,29796,66152,Uqcr10,1110020P15Rik|AA960494|Ucrc|Q8R1I1,"ubiquinol-cytochrome c reductase, complex III subunit X",ENSMUSG00000059534,64,5,MitoDomain,49,2.3,OrthologMitoHighConf,NoHomolog,75-100pure,37.6795,0,1,"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",chr11,4701967,4704344,14,12,449,2.67E+10,98,all 14,9.8,9.5,9.6,8.2,9.3,9.2,8.6,8.7,8.9,9.5,7,9,9,9.3,
Tmito,25874,70456,Mpc2,0610006C01Rik|2010002I07Rik|2610205H19Rik|AA108335|Brp44|ESTM43|Q9D023,mitochondrial pyruvate carrier 2,ENSMUSG00000026568,127,5,MitoDomain,41,3.21,OrthologMitoHighConf,NoHomolog,75-100pure,37.6795,0,1,"literature, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",chr1,165461207,165481214,14,11,1602,8.40E+10,82,all 14,9.6,9.5,9.8,9.4,10.4,10,9.5,9.6,9.6,9.5,9.3,9.5,9.3,10,
Tmito,51805,230027,Coq3,4732433J24|C77934|Q8BMS4,"coenzyme Q3 homolog, methyltransferase (yeast)",ENSMUSG00000028247,370,1,MitoDomain,35,0.57,OrthologMitoHighConf,Homolog,25-50pure,37.5864,0,1,"APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain+, induction, coexpression+, MS/MS+",chr4,21879674,21912126,13,14,138,2.34E+09,41,"cerebrum, cerebellum, brainstem, spinalcord, liver, heart, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",7.9,7.6,7.6,8.2,,8.1,8.9,7.5,8.7,8.2,8.3,7.3,7.8,8.2,"Nucleus but not nucleoli;Mitochondria (APE, Uncertain)"
Tmito,5250,18674,Slc25a3,5730556H19Rik|PTP|Phc|Q8VEM8,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3",ENSMUSG00000061904,357,4,MitoDomain,50,1.22,OrthologMitoHighConf,NoHomolog,75-100pure,37.4638,0,1,"literature, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",chr10,91116577,91123963,14,31,5280,4.91E+11,76,all 14,10.6,10.3,10.8,10.6,10.6,10.2,10.7,10,10.4,10.7,10.4,10.5,10.7,10.4,"Mitochondria (APE, Supportive)"
Tmito,514,67126,Atp5e,2410043G19Rik|ATPE|AV000645|P56382,"ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit",ENSMUSG00000016252,52,4,MitoDomain,47,0.54,OrthologMitoHighConf,NoHomolog,75-100pure,37.4638,0,1,"literature, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",chr2,174461074,174464101,14,13,205,1.65E+10,85,all 14,9.3,9,9,7.8,9.5,9.1,8.7,8.7,8.9,9.5,6.8,9.2,8.1,9.1,
Tmito,64981,94065,Mrpl34,0610007O17Rik|D8Bwg1484e|Q99N91,mitochondrial ribosomal protein L34,ENSMUSG00000034880,92,1,SharedDomain,47,1.75,OrthologMitoHighConf,Ortholog,25-50ambig,37.4581,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS",chr8,71464925,71465753,13,5,62,6.41E+08,27,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, heart, adipose, smallintestine, largeintestine, stomach, placenta, testis",7.8,7.5,7.5,6.9,7.3,7.7,7,,7.6,8,8.1,7.1,7.9,7.9,"Nucleus (APE, Uncertain)"
Tmito,64960,66407,Mrps15,1500003E24Rik|2410002B11Rik|Mprs15|Q9DC71,mitochondrial ribosomal protein S15,ENSMUSG00000028861,258,1,SharedDomain,45,,OrthologMitoHighConf,Ortholog,50-75pure,37.1567,0,1,"literature, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++",chr4,126046927,126055536,14,18,157,2.40E+09,55,all 14,8.4,8.2,8.4,8,7.7,8.6,7.6,6.9,8.1,8.2,8.5,7.8,8.6,7.6,"Mitochondria (APE, Supportive)"
Tmito,6391,66052,Sdhc,0610010E03Rik|AI316496|AU019277|Q9CZB0,"succinate dehydrogenase complex, subunit C, integral membrane protein",ENSMUSG00000058076,169,2,SharedDomain,47,1.32,OrthologMitoHighConf,Ortholog,25-50pure,36.4758,0,1,"literature, targetP signal, yeast mito homolog++, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS+",chr1,171129156,171150603,14,6,741,2.68E+10,39,all 14,9.2,9.1,9.3,8.6,9.6,9.4,9.2,9.3,9.1,9.5,9,8.9,9.3,9.4,
Tmito,506,11947,Atp5b,P56480,"ATP synthase, H+ transporting mitochondrial F1 complex, beta subunit",ENSMUSG00000025393,529,1,SharedDomain,49,,OrthologMitoHighConf,Homolog,75-100pure,36.4532,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog++, Rickettsial homolog, mito protein domain, coexpression++, MS/MS++",chr10,128083306,128090388,14,39,17053,2.40E+12,86,all 14,11.2,10.9,11.1,11,11.4,11,11.6,11.2,11.2,11.5,11.1,11.4,11.2,10.7,"Mitochondria (APE, Supportive)"
Tmito,51649,64656,Mrps23,2310047I09Rik|D11Bwg1153e|Rpms23|Q8VE22,mitochondrial ribosomal protein S23,ENSMUSG00000023723,177,5,MitoDomain,45,1.37,OrthologMitoHighConf,NoHomolog,75-100pure,36.4253,0,1,"literature, APEX_matrix, yeast mito homolog++, mito protein domain+, induction, coexpression++, MS/MS++",chr11,88204417,88211507,14,14,212,5.38E+09,75,all 14,8.7,8.5,8.7,8.4,8.5,8.5,8,7.6,8.7,8.5,9.2,8.1,8.7,8.3,"Nuclear membrane;Mitochondria (APE, Supportive)"
Tmito,2108,110842,Etfa,2010200I21Rik|D9Ertd394e|Q99LC5,"electron transferring flavoprotein, alpha polypeptide",ENSMUSG00000032314,333,2,SharedDomain,40,1.54,OrthologMitoHighConf,NoHomolog,75-100pure,36.4201,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain, induction, coexpression++, MS/MS++",chr9,55454435,55512243,14,31,2985,4.19E+11,82,all 14,9.7,9.3,9.9,9.9,10.8,10.7,11,9.6,10.8,10.4,10.5,10.3,10.5,10.1,"Mitochondria (APE, Supportive)"
Tmito,2271,14194,Fh1,Fh|Fh-1|P97807,fumarate hydratase 1,ENSMUSG00000026526,507,1,SharedDomain,47,1.71,HomologMitoHighConf,Homolog,75-100pure,36.4148,0,1,"literature, APEX_matrix, targetP signal+, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, coexpression++, MS/MS++",chr1,175601377,175625635,14,42,2540,1.69E+11,80,all 14,9.7,9,9.7,9.7,10.4,9.5,10.5,10,10.1,10.4,9.9,10.2,10.2,9.5,"Mitochondria (APE, Supportive)"
Tmito,23107,218506,Mrps27,2610028H14Rik|Q8BK72,mitochondrial ribosomal protein S27,ENSMUSG00000041632,415,2,MitoDomain,32,1.87,OrthologMitoHighConf,NoHomolog,50-75pure,36.1473,0,1,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain+, induction, coexpression+, MS/MS++",chr13,99344785,99415561,13,23,128,2.90E+09,54,"cerebrum, cerebellum, brainstem, spinalcord, kidney, liver, skeletalmuscle, adipose, smallintestine, largeintestine, stomach, placenta, testis",7.9,7.3,7.4,8,8.3,7.8,,7.7,8.4,8.8,8.7,8.3,8.8,8.3,
